# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_001317345.1,ASM131734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/317/345/GCA_001317345.1_ASM131734v1,GCA_001317345.1,Contig,ASM131734v1,PRJNA224116,SAMN03274361,GCA_001317345.1,full,Thermococcus sp. EP1,na,GCF_001317345.1,
GCA_001368915.1,PRJEB5949_assembly_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/368/915/GCA_001368915.1_PRJEB5949_assembly_1,GCA_001368915.1,Scaffold,PRJEB5949_assembly_1,PRJNA224116,SAMEA3309464,GCA_001368915.1,full,Haloferax massiliensis,na,GCF_001368915.1,
GCA_001399795.1,ASM139979v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/795/GCA_001399795.1_ASM139979v1,GCA_001399795.1,Scaffold,ASM139979v1,PRJNA291107,SAMN03983875,GCA_001399795.1,full,Candidatus Bathyarchaeota archaeon BA2,na,GCA_001399795.1,
GCA_001399805.1,ASM139980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/805/GCA_001399805.1_ASM139980v1,GCA_001399805.1,Scaffold,ASM139980v1,PRJNA291107,SAMN03983874,GCA_001399805.1,full,Candidatus Bathyarchaeota archaeon BA1,na,GCA_001399805.1,
GCA_001402945.1,ASM140294v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/402/945/GCA_001402945.1_ASM140294v1,GCA_001402945.1,Contig,ASM140294v1,PRJNA224116,SAMN04087216,GCA_001402945.1,full,Acidiplasma aeolicum,representative genome,GCF_001402945.1,
GCA_001412335.1,ASM141233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/335/GCA_001412335.1_ASM141233v1,GCA_001412335.1,Contig,ASM141233v1,PRJNA293354,SAMN04125648,GCA_001412335.1,full,Methanolinea sp. SDB,na,GCA_001412335.1,
GCA_001412355.1,ASM141235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/355/GCA_001412355.1_ASM141235v1,GCA_001412355.1,Contig,ASM141235v1,PRJNA293354,SAMN04125645,GCA_001412355.1,full,Methanoculleus sp. SDB,na,GCA_001412355.1,
GCA_001412615.1,ASM141261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/412/615/GCA_001412615.1_ASM141261v1,GCA_001412615.1,Complete Genome,ASM141261v1,PRJNA224116,SAMN03223811,GCA_001412615.1,full,Pyrodictium delaneyi,representative genome,GCF_001412615.1,
GCA_001421175.1,ASM142117v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/175/GCA_001421175.1_ASM142117v1,GCA_001421175.1,Contig,ASM142117v1,PRJNA295008,SAMN04038610,GCA_001421175.1,full,Methanomassiliicoccales archaeon RumEn M2,na,GCA_001421175.1,
GCA_001421185.1,ASM142118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/421/185/GCA_001421185.1_ASM142118v1,GCA_001421185.1,Contig,ASM142118v1,PRJNA295008,SAMN04038609,GCA_001421185.1,full,Methanomassiliicoccales archaeon RumEn M1,na,GCA_001421185.1,
GCA_001437625.1,ASM143762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/437/625/GCA_001437625.1_ASM143762v1,GCA_001437625.1,Contig,ASM143762v1,PRJNA273799,SAMN03741946,GCA_001437625.1,full,Nitrosopumilus sp. BACL13 MAG-121220-bin23,na,GCA_001437625.1,
GCA_001443365.1,ASM144336v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/365/GCA_001443365.1_ASM144336v1,GCA_001443365.1,Scaffold,ASM144336v1,PRJNA262935,SAMN03462092,GCA_001443365.1,full,Thaumarchaeota archaeon CSP1-1,na,GCA_001443365.1,
GCA_001462205.1,HalopeDYS1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/462/205/GCA_001462205.1_HalopeDYS1.0,GCA_001462205.1,Scaffold,HalopeDYS1.0,PRJNA224116,SAMN04018174,GCA_001462205.1,full,Haloparvum sedimenti,representative genome,GCF_001462205.1,
GCA_001462395.1,ASM146239v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/462/395/GCA_001462395.1_ASM146239v1,GCA_001462395.1,Contig,ASM146239v1,PRJNA224116,SAMN03154506,GCA_001462395.1,full,Pyrodictium occultum,representative genome,GCF_001462395.1,
GCA_001469865.1,ASM146986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/865/GCA_001469865.1_ASM146986v1,GCA_001469865.1,Contig,ASM146986v1,PRJNA224116,SAMN04318427,GCA_001469865.1,full,Haloferax sp. SB29,na,GCF_001469865.1,
GCA_001469875.2,ASM146987v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/875/GCA_001469875.2_ASM146987v2,GCA_001469875.2,Scaffold,ASM146987v2,PRJNA224116,SAMN04318428,GCA_001469875.2,full,Haloferax sp. SB3,na,GCF_001469875.2,
GCA_001469955.1,ASM146995v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/955/GCA_001469955.1_ASM146995v1,GCA_001469955.1,Contig,ASM146995v1,PRJNA224116,SAMN04318426,GCA_001469955.1,full,Haloprofundus marisrubri,representative genome,GCF_001469955.1,
GCA_001477655.1,ASM147765v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/655/GCA_001477655.1_ASM147765v1,GCA_001477655.1,Complete Genome,ASM147765v1,PRJNA224116,SAMN03438115,GCA_001477655.1,full,Methanobrevibacter millerae,representative genome,GCF_001477655.1,
GCA_001481295.1,ASM148129v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/295/GCA_001481295.1_ASM148129v1,GCA_001481295.1,Contig,ASM148129v1,PRJNA224116,SAMN04326629,GCA_001481295.1,full,Candidatus Methanomethylophilus sp. 1R26,na,GCF_001481295.1,
GCA_001481685.1,ASM148168v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/685/GCA_001481685.1_ASM148168v1,GCA_001481685.1,Complete Genome,ASM148168v1,PRJNA224116,SAMN04316368,GCA_001481685.1,full,Ignicoccus islandicus DSM 13165,representative genome,GCF_001481685.1,
GCA_001482285.1,ASM148228v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/482/285/GCA_001482285.1_ASM148228v1,GCA_001482285.1,Scaffold,ASM148228v1,PRJNA224116,SAMN04018175,GCA_001482285.1,full,Haloferax sp. Q22,na,GCF_001482285.1,
GCA_001484195.1,ASM148419v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/195/GCA_001484195.1_ASM148419v1,GCA_001484195.1,Contig,ASM148419v1,PRJNA224116,SAMN04166689,GCA_001484195.1,full,Thermococcus celericrescens,representative genome,GCF_001484195.1,
GCA_001484685.1,ASM148468v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/685/GCA_001484685.1_ASM148468v1,GCA_001484685.1,Complete Genome,ASM148468v1,PRJNA224116,SAMN03892931,GCA_001484685.1,full,Thermococcus sp. 2319x1,na,GCF_001484685.1,
GCA_001485535.1,ASM148553v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/535/GCA_001485535.1_ASM148553v1,GCA_001485535.1,Contig,ASM148553v1,PRJNA224116,SAMD00043969,GCA_001485535.1,full,Halobacterium sp. CBA1132,na,GCF_001485535.1,
GCA_001485575.1,ASM148557v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/575/GCA_001485575.1_ASM148557v1,GCA_001485575.1,Contig,ASM148557v1,PRJNA224116,SAMD00043971,GCA_001485575.1,full,Haloarcula sp. CBA1127,na,GCF_001485575.1,
GCA_001488575.1,Halobacterium_hubeiense_JI20-1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/488/575/GCA_001488575.1_Halobacterium_hubeiense_JI20-1,GCA_001488575.1,Complete Genome,Halobacterium hubeiense JI20-1,PRJNA224116,SAMEA3305703,GCA_001488575.1,full,Halobacterium hubeiense,representative genome,GCF_001488575.1,
GCA_001507955.1,ASM150795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/955/GCA_001507955.1_ASM150795v1,GCA_001507955.1,Contig,ASM150795v1,PRJNA278302,SAMN03445119,GCA_001507955.1,full,Methanobacteriaceae archaeon 41_258,na,GCA_001507955.1,
GCA_001509375.1,ASM150937v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/375/GCA_001509375.1_ASM150937v1,GCA_001509375.1,Scaffold,ASM150937v1,PRJNA278302,SAMN03445147,GCA_001509375.1,full,Methanosaeta harundinacea,na,GCA_001509375.1,
GCA_001510275.1,ASM151027v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/275/GCA_001510275.1_ASM151027v1,GCA_001510275.1,Contig,ASM151027v1,PRJNA279271,SAMN03733545,GCA_001510275.1,full,Thaumarchaeota archaeon casp-thauma3,na,GCA_001510275.1,
GCA_001510295.1,ASM151029v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/295/GCA_001510295.1_ASM151029v1,GCA_001510295.1,Contig,ASM151029v1,PRJNA279271,SAMN03733546,GCA_001510295.1,full,Thaumarchaeota archaeon casp-thauma4,na,GCA_001510295.1,
GCA_001512375.1,ASM151237v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/512/375/GCA_001512375.1_ASM151237v1,GCA_001512375.1,Scaffold,ASM151237v1,PRJNA283298,SAMN03776724,GCA_001512375.1,full,Candidatus Methanoculleus thermohydrogenotrophicum,na,GCA_001512375.1,
GCA_001512965.1,ASM151296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/512/965/GCA_001512965.1_ASM151296v1,GCA_001512965.1,Scaffold,ASM151296v1,PRJNA283298,SAMN03787326,GCA_001512965.1,full,Methanomicrobia archaeon DTU008,na,GCA_001512965.1,
GCA_001515185.1,DG-33,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/185/GCA_001515185.1_DG-33,GCA_001515185.1,Scaffold,DG-33,PRJNA270657,SAMN04385803,GCA_001515185.1,full,Hadesarchaea archaeon DG-33,na,GCA_001515185.1,
GCA_001515205.2,ASM151520v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/205/GCA_001515205.2_ASM151520v2,GCA_001515205.2,Contig,ASM151520v2,PRJNA298487,SAMN04159681,GCA_001515205.2,full,Hadesarchaea archaeon YNP_45,na,GCA_001515205.2,
GCA_001516585.1,ASM151658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/585/GCA_001516585.1_ASM151658v1,GCA_001516585.1,Contig,ASM151658v1,PRJNA295311,SAMN04045698,GCA_001516585.1,full,Thermocladium sp. ECH_B,na,GCA_001516585.1,
GCA_001516765.1,ASM151676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/516/765/GCA_001516765.1_ASM151676v1,GCA_001516765.1,Scaffold,ASM151676v1,PRJNA295311,SAMN04045672,GCA_001516765.1,full,Vulcanisaeta sp. MG_3,na,GCA_001516765.1,
GCA_001541925.1,ASM154192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/925/GCA_001541925.1_ASM154192v1,GCA_001541925.1,Contig,ASM154192v1,PRJNA224116,SAMN04386402,GCA_001541925.1,full,Nitrosopumilus sp. Nsub,na,GCF_001541925.1,
GCA_001542905.1,ASM154290v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/905/GCA_001542905.1_ASM154290v1,GCA_001542905.1,Contig,ASM154290v1,PRJNA224116,SAMN04278861,GCA_001542905.1,full,Halorubrum aethiopicum,na,GCF_001542905.1,
GCA_001543015.1,ASM154301v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/015/GCA_001543015.1_ASM154301v1,GCA_001543015.1,Contig,ASM154301v1,PRJNA287175,SAMN03777287,GCA_001543015.1,full,Nitrosopumilus sp. LS_AOA,na,GCA_001543015.1,
GCA_001548675.1,ASM154867v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/675/GCA_001548675.1_ASM154867v1,GCA_001548675.1,Complete Genome,ASM154867v1,PRJNA224116,SAMN03295748,GCA_001548675.1,full,Methanobrevibacter sp. YE315,na,GCF_001548675.1,
GCA_001552015.1,ASM155201v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/552/015/GCA_001552015.1_ASM155201v1,GCA_001552015.1,Complete Genome,ASM155201v1,PRJNA266727,SAMN03173949,GCA_001552015.1,full,Candidatus Nanopusillus acidilobi,na,GCA_001552015.1,
GCA_001560915.1,ASM156091v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/560/915/GCA_001560915.1_ASM156091v1,GCA_001560915.1,Complete Genome,ASM156091v1,PRJNA224116,SAMN03976563,GCA_001560915.1,full,methanogenic archaeon ISO4-H5,representative genome,GCF_001560915.1,
GCA_001563305.1,ASM156330v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/305/GCA_001563305.1_ASM156330v1,GCA_001563305.1,Chromosome,ASM156330v1,PRJNA305317,SAMN04324260,GCA_001563305.1,partial,methanogenic archaeon mixed culture ISO4-G1,na,GCA_001563305.1,
GCA_001563325.1,ASM156332v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/325/GCA_001563325.1_ASM156332v1,GCA_001563325.1,Contig,ASM156332v1,PRJNA270657,SAMN03998758,GCA_001563325.1,full,Candidatus Thorarchaeota archaeon SMTZ1-83,na,GCA_001563325.1,
GCA_001563335.1,ASM156333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/335/GCA_001563335.1_ASM156333v1,GCA_001563335.1,Contig,ASM156333v1,PRJNA270657,SAMN03998759,GCA_001563335.1,full,Candidatus Thorarchaeota archaeon SMTZ1-45,na,GCA_001563335.1,
GCA_001563795.1,ASM156379v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/795/GCA_001563795.1_ASM156379v1,GCA_001563795.1,Contig,ASM156379v1,PRJNA286221,SAMN04123324,GCA_001563795.1,full,Haloferacaceae archaeon B1-Br10_E2g22,na,GCA_001563795.1,
GCA_001563805.1,ASM156380v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/805/GCA_001563805.1_ASM156380v1,GCA_001563805.1,Contig,ASM156380v1,PRJNA286221,SAMN04123323,GCA_001563805.1,full,Natrialbaceae archaeon B1-Br10_E2g2,na,GCA_001563805.1,
GCA_001563875.1,ASM156387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/875/GCA_001563875.1_ASM156387v1,GCA_001563875.1,Contig,ASM156387v1,PRJNA286221,SAMN04124417,GCA_001563875.1,full,Nanohaloarchaea archaeon B1-Br10_U2g1,na,GCA_001563875.1,
GCA_001563885.1,ASM156388v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/885/GCA_001563885.1_ASM156388v1,GCA_001563885.1,Contig,ASM156388v1,PRJNA286221,SAMN04124416,GCA_001563885.1,full,Natrialbaceae archaeon B1-Br10_E2g27,na,GCA_001563885.1,
GCA_001563905.1,ASM156390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/905/GCA_001563905.1_ASM156390v1,GCA_001563905.1,Contig,ASM156390v1,PRJNA286221,SAMN04124418,GCA_001563905.1,full,Nanohaloarchaea archaeon B1-Br10_U2g19,na,GCA_001563905.1,
GCA_001563915.1,ASM156391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/915/GCA_001563915.1_ASM156391v1,GCA_001563915.1,Contig,ASM156391v1,PRJNA286221,SAMN04124421,GCA_001563915.1,full,Nanohaloarchaea archaeon B1-Br10_U2g21,na,GCA_001563915.1,
GCA_001563965.1,ASM156396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/965/GCA_001563965.1_ASM156396v1,GCA_001563965.1,Contig,ASM156396v1,PRJNA286221,SAMN04124448,GCA_001563965.1,full,Haloferacaceae archaeon PL-Br10_E2g29,na,GCA_001563965.1,
GCA_001563995.1,ASM156399v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/995/GCA_001563995.1_ASM156399v1,GCA_001563995.1,Contig,ASM156399v1,PRJNA286221,SAMN04124452,GCA_001563995.1,full,Nanohaloarchaea archaeon PL-Br10_U2g16,na,GCA_001563995.1,
GCA_001564035.1,ASM156403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/035/GCA_001564035.1_ASM156403v1,GCA_001564035.1,Contig,ASM156403v1,PRJNA286221,SAMN04124454,GCA_001564035.1,full,Nanohaloarchaea archaeon PL-Br10_U2g27,na,GCA_001564035.1,
GCA_001564115.1,ASM156411v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/115/GCA_001564115.1_ASM156411v1,GCA_001564115.1,Contig,ASM156411v1,PRJNA286221,SAMN04125315,GCA_001564115.1,full,Natrialbaceae archaeon Tc-Br11_E2g8,na,GCA_001564115.1,
GCA_001564135.1,ASM156413v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/135/GCA_001564135.1_ASM156413v1,GCA_001564135.1,Contig,ASM156413v1,PRJNA286221,SAMN04125316,GCA_001564135.1,full,Halobacteriaceae archaeon Tc-Br11_E2g27,na,GCA_001564135.1,
GCA_001564145.1,ASM156414v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/145/GCA_001564145.1_ASM156414v1,GCA_001564145.1,Contig,ASM156414v1,PRJNA286221,SAMN04124435,GCA_001564145.1,full,Nanohaloarchaea archaeon B1-Br10_U2g29,na,GCA_001564145.1,
GCA_001564205.1,ASM156420v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/205/GCA_001564205.1_ASM156420v1,GCA_001564205.1,Contig,ASM156420v1,PRJNA286221,SAMN04124455,GCA_001564205.1,full,Nanohaloarchaea archaeon PL-Br10_U2g5,na,GCA_001564205.1,
GCA_001564255.1,ASM156425v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/255/GCA_001564255.1_ASM156425v1,GCA_001564255.1,Contig,ASM156425v1,PRJNA286221,SAMN04125286,GCA_001564255.1,full,Natrialbaceae archaeon Tc-Br11_E2g1,na,GCA_001564255.1,
GCA_001564275.1,ASM156427v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/275/GCA_001564275.1_ASM156427v1,GCA_001564275.1,Contig,ASM156427v1,PRJNA286221,SAMN04125312,GCA_001564275.1,full,Natrialbaceae archaeon Tc-Br11_E2g14,na,GCA_001564275.1,
GCA_001564285.1,ASM156428v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/564/285/GCA_001564285.1_ASM156428v1,GCA_001564285.1,Contig,ASM156428v1,PRJNA286221,SAMN04125314,GCA_001564285.1,full,Natrialbaceae archaeon Tc-Br11_E2g28,na,GCA_001564285.1,
GCA_001571385.1,ASM157138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/385/GCA_001571385.1_ASM157138v1,GCA_001571385.1,Contig,ASM157138v1,PRJNA224116,SAMD00044721,GCA_001571385.1,full,Methanofollis ethanolicus,representative genome,GCF_001571385.1,
GCA_001571405.1,ASM157140v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/405/GCA_001571405.1_ASM157140v1,GCA_001571405.1,Contig,ASM157140v1,PRJNA224116,SAMD00044722,GCA_001571405.1,full,Methanoculleus thermophilus,representative genome,GCF_001571405.1,
GCA_001577565.1,ASM157756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/565/GCA_001577565.1_ASM157756v1,GCA_001577565.1,Contig,ASM157756v1,PRJNA308326,SAMN04432770,GCA_001577565.1,full,Methanolobus sp. T82-4,na,GCA_001577565.1,
GCA_001577775.1,ASM157777v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/775/GCA_001577775.1_ASM157777v1,GCA_001577775.1,Complete Genome,ASM157777v1,PRJNA224116,SAMN03323778,GCA_001577775.1,full,Pyrococcus kukulkanii,representative genome,GCF_001577775.1,
GCA_001587575.1,ASM158757v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/575/GCA_001587575.1_ASM158757v1,GCA_001587575.1,Contig,ASM158757v1,PRJNA293769,SAMN04009752,GCA_001587575.1,full,Arc I group archaeon BMIXfssc0709_Meth_Bin006,na,GCA_001587575.1,
GCA_001587595.1,ASM158759v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/595/GCA_001587595.1_ASM158759v1,GCA_001587595.1,Scaffold,ASM158759v1,PRJNA293767,SAMN04009747,GCA_001587595.1,full,Arc I group archaeon ADurb1013_Bin02101,na,GCA_001587595.1,
GCA_001587675.1,ASM158767v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/675/GCA_001587675.1_ASM158767v1,GCA_001587675.1,Contig,ASM158767v1,PRJNA293769,SAMN04009068,GCA_001587675.1,full,Arc I group archaeon U1lsi0528_Bin089,na,GCA_001587675.1,
GCA_001587715.1,ASM158771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/715/GCA_001587715.1_ASM158771v1,GCA_001587715.1,Contig,ASM158771v1,PRJNA293769,SAMN04008119,GCA_001587715.1,full,Arc I group archaeon U1lsi0528_Bin055,na,GCA_001587715.1,
GCA_001592435.1,ASM159243v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/435/GCA_001592435.1_ASM159243v1,GCA_001592435.1,Complete Genome,ASM159243v1,PRJNA224116,SAMN03324162,GCA_001592435.1,full,Thermococcus peptonophilus,na,GCF_001592435.1,
GCA_001593845.1,ASM159384v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/845/GCA_001593845.1_ASM159384v1,GCA_001593845.1,Scaffold,ASM159384v1,PRJNA312413,SAMN04412737,GCA_001593845.1,full,Candidatus Bathyarchaeota archaeon B63,na,GCA_001593845.1,
GCA_001593855.1,ASM159385v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/855/GCA_001593855.1_ASM159385v1,GCA_001593855.1,Scaffold,ASM159385v1,PRJNA312413,SAMN04412734,GCA_001593855.1,full,Candidatus Bathyarchaeota archaeon B25,na,GCA_001593855.1,
GCA_001593865.1,ASM159386v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/865/GCA_001593865.1_ASM159386v1,GCA_001593865.1,Scaffold,ASM159386v1,PRJNA312413,SAMN04412733,GCA_001593865.1,full,Candidatus Bathyarchaeota archaeon B24,na,GCA_001593865.1,
GCA_001593875.1,ASM159387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/875/GCA_001593875.1_ASM159387v1,GCA_001593875.1,Scaffold,ASM159387v1,PRJNA312413,SAMN04412732,GCA_001593875.1,full,Candidatus Bathyarchaeota archaeon B23,na,GCA_001593875.1,
GCA_001593925.1,ASM159392v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/925/GCA_001593925.1_ASM159392v1,GCA_001593925.1,Scaffold,ASM159392v1,PRJNA312413,SAMN04412735,GCA_001593925.1,full,Candidatus Bathyarchaeota archaeon B26-1,na,GCA_001593925.1,
GCA_001593935.1,ASM159393v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/935/GCA_001593935.1_ASM159393v1,GCA_001593935.1,Scaffold,ASM159393v1,PRJNA312413,SAMN04412736,GCA_001593935.1,full,Candidatus Bathyarchaeota archaeon B26-2,na,GCA_001593935.1,
GCA_001593955.1,ASM159395v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/955/GCA_001593955.1_ASM159395v1,GCA_001593955.1,Contig,ASM159395v1,PRJNA224116,SAMN04516086,GCA_001593955.1,full,Halalkalicoccus paucihalophilus,representative genome,GCF_001593955.1,
GCA_001595785.1,ASM159578v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/785/GCA_001595785.1_ASM159578v1,GCA_001595785.1,Contig,ASM159578v1,PRJNA270657,SAMN04495915,GCA_001595785.1,full,Euryarchaeota archaeon SM23-78,na,GCA_001595785.1,
GCA_001595885.1,ASM159588v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/885/GCA_001595885.1_ASM159588v1,GCA_001595885.1,Scaffold,ASM159588v1,PRJNA270657,SAMN04495912,GCA_001595885.1,full,Euryarchaeota archaeon SG8-5,na,GCA_001595885.1,
GCA_001595915.1,ASM159591v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/915/GCA_001595915.1_ASM159591v1,GCA_001595915.1,Contig,ASM159591v1,PRJNA270657,SAMN04495911,GCA_001595915.1,full,Thermoplasmatales archaeon SG8-52-3,na,GCA_001595915.1,
GCA_001595945.1,ASM159594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/945/GCA_001595945.1_ASM159594v1,GCA_001595945.1,Contig,ASM159594v1,PRJNA270657,SAMN04495914,GCA_001595945.1,full,Thermoplasmatales archaeon SM1-50,na,GCA_001595945.1,
GCA_001602375.1,ASM160237v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/375/GCA_001602375.1_ASM160237v1,GCA_001602375.1,Contig,ASM160237v1,PRJNA224116,SAMD00044723,GCA_001602375.1,full,Methanoculleus horonobensis,representative genome,GCF_001602375.1,
GCA_001602645.1,ASM160264v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/645/GCA_001602645.1_ASM160264v1,GCA_001602645.1,Scaffold,ASM160264v1,PRJNA284316,SAMN03837483,GCA_001602645.1,full,Methanosarcinales archaeon Methan_01,na,GCA_001602645.1,
GCA_001625445.1,ASM162544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/445/GCA_001625445.1_ASM162544v1,GCA_001625445.1,Contig,ASM162544v1,PRJNA224116,SAMN04592497,GCA_001625445.1,full,Haladaptatus sp. R4,na,GCF_001625445.1,
GCA_001627235.1,ASM162723v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/627/235/GCA_001627235.1_ASM162723v1,GCA_001627235.1,Scaffold,ASM162723v1,PRJNA289734,SAMN04534603,GCA_001627235.1,full,Nitrosopelagicus sp. REDSEA-S31_B2,na,GCA_001627235.1,
GCA_001628485.1,ASM162848v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/485/GCA_001628485.1_ASM162848v1,GCA_001628485.1,Scaffold,ASM162848v1,PRJNA289734,SAMN04534672,GCA_001628485.1,full,Marine group II euryarchaeote REDSEA-S11_B3N4,na,GCA_001628485.1,
GCA_001629205.1,ASM162920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/205/GCA_001629205.1_ASM162920v1,GCA_001629205.1,Scaffold,ASM162920v1,PRJNA289734,SAMN04534676,GCA_001629205.1,full,Marine group II euryarchaeote REDSEA-S30_B12,na,GCA_001629205.1,
